Found path: /home_01/f20150198/projects/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux_NoVis/Reacher.x86_64
Mono path[0] = '/home_01/f20150198/projects/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux_NoVis/Reacher_Data/Managed'
Mono config path = '/home_01/f20150198/projects/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux_NoVis/Reacher_Data/MonoBleedingEdge/etc'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	libgrpc_csharp_ext.x86.so
Logging to /home_01/f20150198/.config/unity3d/Unity Technologies/Unity Environment/Player.log
Size of each action: 4
episode done  [False]
hello

Episode 112	Average Score: 1.58369996
Episode 113	Average Score: 1.62429996
Episode 114	Average Score: 1.67739996
Episode 115	Average Score: 1.70839996
Episode 116	Average Score: 1.72589996
Episode 117	Average Score: 1.74839996
Episode 118	Average Score: 1.76269996
Episode 119	Average Score: 1.76819996
Episode 120	Average Score: 1.83179996
Episode 121	Average Score: 1.89559996
Episode 122	Average Score: 2.03789995
Episode 123	Average Score: 2.09699995
Episode 124	Average Score: 2.12439995
Episode 125	Average Score: 2.17049995
Episode 126	Average Score: 2.18799995
Episode 127	Average Score: 2.21029995
Episode 128	Average Score: 2.23779995
Episode 129	Average Score: 2.28479995
Episode 130	Average Score: 2.31089995
Episode 131	Average Score: 2.34989995
Episode 132	Average Score: 2.37599995
Episode 133	Average Score: 2.41529995
Episode 134	Average Score: 2.42709995
Episode 135	Average Score: 2.45959995
Episode 136	Average Score: 2.53609994
Episode 137	Average Score: 2.54839994
Episode 138	Average Score: 2.58069994
Episode 139	Average Score: 2.59769994
Episode 140	Average Score: 2.66759994
Episode 141	Average Score: 2.73359994
Episode 142	Average Score: 2.73699994
Episode 143	Average Score: 2.74969994
Episode 144	Average Score: 2.78029994
Episode 145	Average Score: 2.82619994
Episode 146	Average Score: 2.85419994
Episode 147	Average Score: 2.90099994
Episode 148	Average Score: 2.98039993
Episode 149	Average Score: 3.10319993
Episode 150	Average Score: 3.26999993
Episode 151	Average Score: 3.33029993
Episode 152	Average Score: 3.37279992
Episode 153	Average Score: 3.43799992
Episode 154	Average Score: 3.44949992
Episode 155	Average Score: 3.46229992
Episode 156	Average Score: 3.46189992
Episode 157	Average Score: 3.49819992
Episode 158	Average Score: 3.53869992
Episode 159	Average Score: 3.52939992
Episode 160	Average Score: 3.53999992
Episode 161	Average Score: 3.57679992
Episode 162	Average Score: 3.61919992
Episode 163	Average Score: 3.62289992
Episode 164	Average Score: 3.69969992
Episode 165	Average Score: 3.72769992
Episode 166	Average Score: 3.79809992
Episode 167	Average Score: 3.79969992
Episode 168	Average Score: 3.82009991
Episode 169	Average Score: 3.82499991
Episode 170	Average Score: 3.84389991
Episode 171	Average Score: 3.87479991
Episode 172	Average Score: 3.99649991
Episode 173	Average Score: 3.97679991
Episode 174	Average Score: 3.98709991
Episode 175	Average Score: 3.97629991
Episode 176	Average Score: 4.00239991
Episode 177	Average Score: 4.02109991
Episode 178	Average Score: 4.04009991
Episode 179	Average Score: 4.04969991
Episode 180	Average Score: 4.02939991
Episode 181	Average Score: 4.05099991
